chapter_number,verse_number,verse_id,verse_id_arabic,chapter_verses,chapter_title_english,chapter_title_arabic,chapter_title_persian,verse_subtitle_english,verse_text_persian,verse_text_english,verse_footnote_english
2,8,2:8,٨:٢,286,The Heifer,البقرة,ماده گاو,(3) The Hypocrites,"سپس کسانى هستند که مى گويند: ""ما به خدا و روز آخر ايمان داريم،"" و حال آنکه مؤمن نيستند.","Then there are those who say, ""We believe in GOD and the Last Day,"" while they are not believers.",
2,9,2:9,٩:٢,286,The Heifer,البقرة,ماده گاو,,آنها سعى دارند كه خدا و کسانى را که  ايمان دارند، فريب دهند، در حالى که فقط خود را فريب مى دهند، بدون آنکه دريابند.,"In trying to deceive GOD and those who believe, they only deceive themselves without perceiving.",
2,10,2:10,١٠:٢,286,The Heifer,البقرة,ماده گاو,,در افکارشان مرضى است. درنتيجه، خدا بر مرضشان مى افزايد. آنها به خاطر دروغ هايشان سزاوار مجازاتى دردناک شده اند.,"In their minds there is a disease. Consequently, GOD augments their disease. They have incurred a painful retribution for their lying.",
2,11,2:11,١١:٢,286,The Heifer,البقرة,ماده گاو,,"هنگامى كه به آنها گفته شود: ""كار پليد مرتكب نشويد،"" مى گويند: ""ما که از صالحانيم!""","When they are told, ""Do not commit evil,"" they say, ""But we are righteous!""",
2,12,2:12,١٢:٢,286,The Heifer,البقرة,ماده گاو,,د واقع، آنها كارهاى پليد انجام مى دهند، ولی درك نمى كنند.,"In fact, they are evildoers, but they do not perceive.",
2,13,2:13,١٣:٢,286,The Heifer,البقرة,ماده گاو,,"هنگامی كه به آنان گفته شود: ""ايمان آوريد مانند مردمی که ايمان آورده اند،"" می گويند: ""آيا مانند بى خردانی که ايمان آوردند، ايمان بياوريم؟"" درواقع، اين آنها هستند كه بى خردند، ولی نمی دانند.","When they are told, ""Believe like the people who believed,"" they say, ""Shall we believe like the fools who believed?"" In fact, it is they who are fools, but they do not know.",
2,14,2:14,١٤:٢,286,The Heifer,البقرة,ماده گاو,,"هنگامی كه با مؤمنان ملاقات کنند، می گويند: ""ما ايمان داريم،"" و چون با شياطين خود به خلوت نشينند، می گويند: ""ما با شما هستيم؛ و فقط مسخره می کرديم.""","When they meet the believers, they say, ""We believe,"" but when alone with their devils, they say, ""We are with you; we were only mocking.""",
2,15,2:15,١٥:٢,286,The Heifer,البقرة,ماده گاو,,خدا تمسخرشان مى کند و آنان را سرگردان در ستمكاريشان سوق مى دهد.,"GOD mocks them, and leads them on in their transgressions, blundering.",
2,16,2:16,١٦:٢,286,The Heifer,البقرة,ماده گاو,,اين آنها هستند که گمراهی را به بهای هدايت خريدند. چنين معامله ای هرگز سودی به بار نمی آورد و نه هرگز هدايتی يابند.,"It is they who bought the straying, at the expense of guidance. Such trade never prospers, nor do they receive any guidance.",
2,17,2:17,١٧:٢,286,The Heifer,البقرة,ماده گاو,,مثال آنها مانند کسانی است که آتشی برافروزند، سپس، همين که هاله ای از نور در پيرامونشان پرتو افکند، خدا نورشان را بگيرد و آنها را در تاريکی ها رها كند، ناتوان از ديدن.,"Their example is like those who start a fire, then, as it begins to shed light around them, GOD takes away their light, leaving them in darkness, unable to see.",
2,18,2:18,١٨:٢,286,The Heifer,البقرة,ماده گاو,,کر، گنگ و کور؛ آنها از گمراهی خود بازنمی گردند.,"Deaf, dumb, and blind; they fail to return.",
2,19,2:19,١٩:٢,286,The Heifer,البقرة,ماده گاو,,مثالی ديگر: رگباری است از آسمان که در آن تاريکی ها و رعد و برق است. آنها انگشتانشان را در گوش هايشان فرو برند، تا از چنگ مرگ بگريزند. خدا از کافران كاملاً آگاه است.,"Another example: a rainstorm from the sky in which there is darkness, thunder, and lightning. They put their fingers in their ears, to evade death. GOD is fully aware of the disbelievers.",
2,20,2:20,٢٠:٢,286,The Heifer,البقرة,ماده گاو,The Light of Faith,نزديک است برق بينايی آنها را بربايد. هرگاه برايشان روشن شود، گامی به جلو برمی دارند و چون به تاريکی گرايد، از حرکت بازمی ايستند. اگر خدا بخواهد، می تواند* شنوايی شان و بينايی شان را برگيرد. خدا بر همه چيز تواناست.,"The lightning almost snatches away their eyesight. When it lights for them, they move forward, and when it turns dark, they stand still. If GOD wills, He* can take away their hearing and their eyesight. GOD is Omnipotent.","*2:20 ""He"" and ""she"" do not necessarily imply natural gender in Arabic (Appendix 4)."
2,21,2:21,٢١:٢,286,The Heifer,البقرة,ماده گاو,,ای مردم، فقط پروردگارتان را عبادت کنيد- يکتایى که شما و پيشينيان شما را آفريد- باشد که نجات يابيد.,"O people, worship only your Lord—the One who created you and those before you—that you may be saved.",
2,22,2:22,٢٢:٢,286,The Heifer,البقرة,ماده گاو,,يكتايی كه زمين را برای شما قابل سكونت قرار داد و آسمان را بنايى. او از آسمان آب فرو می فرستد، تا انواع ميوه ها را برای روزى شما فراهم كند. هيچ معبودی را همتای خدا قرار ندهيد، اكنون كه می دانيد.,"The One who made the earth habitable for you, and the sky a structure. He sends down from the sky water, to produce all kinds of fruits for your sustenance. You shall not set up idols to rival GOD, now that you know.",
2,23,2:23,٢٣:٢,286,The Heifer,البقرة,ماده گاو,Mathematical Challenge,اگر دربارهٔ آنچه بر بندهٔ خود* نازل کرديم شک داريد، پس يک سوره مانند اينها ارائه دهيد و شاهدان خود را عليه خدا فرا خوانيد، اگر راست می گوييد.,"If you have any doubt regarding what we revealed to our servant,* then produce one sura like these, and call upon your own witnesses against GOD, if you are truthful.","*2:23-24 The Quran's miraculous mathematical code provides numerous proofs as it spells out the name ""Rashad Khalifa"" as God's servant mentioned here. Some literary giants, including Al-Mutanabby and Taha Hussein, have answered the literary challenge, but they had no awareness of the Quran's mathematical composition. It is the Quran's mathematical code, revealed through God's Messenger of the Covenant, Rashad Khalifa, that is the real challenge—for it can never be imitated. See Appendices 1, 2, 24, & 26 for the detailed proofs."
2,24,2:24,٢٤:٢,286,The Heifer,البقرة,ماده گاو,Allegorical Description of Hell,اگر نمی توانيد- كه هرگز هم نخواهيد توانست - پس آگاه باشيد از آتش دوزخ كه سوخت آن مردم و سنگ هاست؛ آن در انتظار كافران است.,"If you cannot do this—and you can never do this—then beware of the Hellfire, whose fuel is people and rocks; it awaits the disbelievers.",
2,25,2:25,٢٥:٢,286,The Heifer,البقرة,ماده گاو,Allegorical Description of Paradise,"به کسانی که ايمان مى آورند و زندگی پرهيزكارانه ای را در پيش مى گيرند، بشارت ده که برای آنان باغ هايی با نهرهاى روان خواهد بود. و چون از ميوه های آنجا به ايشان روزی دهند، خواهند گفت: ""اين همان است که قبلاً براى ما فراهم شده بود."" اين چنين، به طور تمثيلى برايشان توصيف شده است. در آنجا همسرانی پاک خواهند داشت و جاودانه در آن خواهند بود.","Give good news to those who believe and lead a righteous life that they will have gardens with flowing streams. When provided with a provision of fruits therein, they will say, ""This is what was provided for us previously."" Thus, they are given allegorical descriptions. They will have pure spouses therein, and they abide therein forever.",
2,26,2:26,٢٦:٢,286,The Heifer,البقرة,ماده گاو,,"خدا از آوردن هیچ گونه مثالى* ابا ندارد، از پشه اى ريز گرفته تا بزرگ تر و اما كسانى كه ايمان دارند، مى دانند كه اين حقيقتى است از جانب پروردگارشان. و اما كسانى كه ايمان ندارند، مى گويند: ""خدا از چنين مثلى چه منظورى داشت؟"" او بدين وسيله بسيارى را گمراه و بسيارى را هدايت مى كند. ولى او هرگز گمراه نمى كند به جز ستمكارانى را،","GOD does not shy away from citing any kind of allegory,* from the tiny mosquito and greater. As for those who believe, they know that it is the truth from their Lord. As for those who disbelieve, they say, ""What did GOD mean by such an allegory?"" He misleads many thereby, and guides many thereby. But He never misleads thereby except the wicked,",*2:26 See Appendix 5 for further discussion of Heaven and Hell.
2,27,2:27,٢٧:٢,286,The Heifer,البقرة,ماده گاو,,كه عهد خدا را پس از پيمان بستن مى شكنند و آنچه را كه خدا به پيوستن آن فرمان داده است، قطع مى كنند و مرتكب كارهاى پليد مى شوند. اينان بازندگانند.,"who violate GOD's covenant after pledging to uphold it, sever what GOD has commanded to be joined, and commit evil. These are the losers.",
2,28,2:28,٢٨:٢,286,The Heifer,البقرة,ماده گاو,Two Deaths and Two Lives for the Disbelievers*,چگونه می توانيد به خدا کافر شويد در صورتی که مرده بوديد و او به شما زندگی بخشيد، سپس شما را می ميراند و باز شما را زنده می کند، سپس بازگشت نهايی شما به سوی اوست؟,"How can you disbelieve in GOD when you were dead and He gave you life, then He puts you to death, then He brings you back to life, then to Him you ultimately return?","*2:28 The righteous do not really die; they go straight to Heaven. When their interim on this earth comes to an end, the angels of death simply invite them to go to the same Paradise where Adam and Eve once lived (2:154, 3:169, 8:24, 22:58, 16:32, 36:20-27, 44:56, 89:27-30). Thus, while the righteous experience only the first death following our original sin, the unrighteous go through two deaths (40:11). At the time of death, the disbelievers know their miserable fate (8:50, 47:27), then they suffer a continuous nightmare that lasts until Hell is created (40:46, 89:23, Appendix 17)."
2,29,2:29,٢٩:٢,286,The Heifer,البقرة,ماده گاو,,اوست که آنچه را که در زمين است برای شما آفريد، سپس به آسمان پرداخت و در آن هفت عالم را تکميل کرد.* او از همه چيز کاملاً آگاه است.,"He is the One who created for you everything on earth, then turned to the sky and perfected seven universes therein,* and He is fully aware of all things.","*2:29 Our universe with its billion galaxies, spanning distances of billions of light years, is the smallest and innermost of seven universes (Appendix 6). Please look up 41:10-11."
2,30,2:30,٣٠:٢,286,The Heifer,البقرة,ماده گاو,"Satan: A Temporary ""god""*","به ياد آور که پروردگارت به فرشتگان گفت: ""من نماينده ای (خدایی موقت) در زمین قرار می دهم."" آنان گفتند: ""آيا می خواهی کسی را در آن قرار دهی که پليدی را در آن رواج دهد و خون بريزد، و حال آنکه ما مدح تو را می سراييم، تو را تجليل می كنيم و حاکميت مطلق تو را ارج می نهيم؟"" او گفت: ""من چيزی می دانم که شما نمی دانيد.""","Recall that your Lord said to the angels, ""I am placing a representative (a temporary god) on Earth."" They said, ""Will You place therein one who will spread evil therein and shed blood, while we sing Your praises, glorify You, and uphold Your absolute authority?"" He said, ""I know what you do not know.""","*2:30-37 These verses answer such crucial questions as: ""Why are we here?"" (See Appendix 7)."
2,31,2:31,٣١:٢,286,The Heifer,البقرة,ماده گاو,The Test Begins,"او تمام اسم ها* را به آدم آموخت. سپس، آنها را به فرشتگان عرضه کرد و گفت: ""اسامی اينها را به من بگوييد، اگر حق با شماست.""","He taught Adam all the names* then presented them to the angels, saying, ""Give Me the names of these, if you are right.""","*2:31 These are the names of the animals, the automobile, the submarine, the space satellite, the VCR, and all other objects to be encountered by the human beings on Earth."
2,32,2:32,٣٢:٢,286,The Heifer,البقرة,ماده گاو,,"گفتند: ""شکوه و جلال تو ستايش باد، ما دانشى جز آنچه تو به ما آموخته ای نداريم. تویی داناى مطلق، حکيم ترين.""","They said, ""Be You glorified, we have no knowledge, except that which You have taught us. You are the Omniscient, Most Wise.""",
2,33,2:33,٣٣:٢,286,The Heifer,البقرة,ماده گاو,,"او گفت: ""ای آدم، اسامی اينها را به ايشان بگو."" و چون اسامی آنها را برايشان بيان کرد، او گفت: ""آيا به شما نگفتم که اسرار آسمان ها و زمين را من می دانم؟ من آنچه را آشکار و آنچه را پنهان کنيد، مى دانم.""","He said, ""O Adam, tell them their names."" When he told them their names, He said, ""Did I not tell you that I know the secrets of the heavens and the earth? I know what you declare, and what you conceal.""",
2,34,2:34,٣٤:٢,286,The Heifer,البقرة,ماده گاو,,"هنگامى كه به فرشتگان گفتيم: ""به آدم سجده کنيد،"" آنان سجده کردند، جز ابليس؛ او امتناع ورزيد، او بسيار متکبر و کافر بود.","When we said to the angels, ""Fall prostrate before Adam,"" they fell prostrate, except Satan; he refused, was too arrogant, and a disbeliever.",
2,35,2:35,٣٥:٢,286,The Heifer,البقرة,ماده گاو,,"و گفتيم: ""ای آدم، با زنت در بهشت زندگی کن و در آنجا از آنچه دوست داريد به فراوانی بخوريد، ولی به اين درخت نزديک نشويد، مبادا گناه کنيد.""","We said, ""O Adam, live with your wife in Paradise, and eat therefrom generously, as you please, but do not approach this tree, lest you sin.""",
2,36,2:36,٣٦:٢,286,The Heifer,البقرة,ماده گاو,,"اما شيطان آنان را فريب داد و باعث شد از آنجا اخراج شوند. ما گفتيم: ""به عنوان دشمنان يکديگر پايين برويد. محل سكونت و روزی شما تا مدتی در زمين خواهد بود.""","But the devil duped them, and caused their eviction therefrom. We said, ""Go down as enemies of one another. On Earth shall be your habitation and provision for awhile.""",
2,37,2:37,٣٧:٢,286,The Heifer,البقرة,ماده گاو,Specific Words*,سپس، آدم از جانب پروردگارش کلماتی دريافت کرد که او با آن کلمات توبه اش را پذيرفت. اوست توبه پذير، رحيم.,"Then, Adam received from his Lord words, whereby He redeemed him. He is the Redeemer, Most Merciful.","*2:37 Similarly, God has given us specific, mathematically coded words, the words of Sura 1, to establish contact with Him (see Footnote 1:1 and Appendix 15)."
2,38,2:38,٣٨:٢,286,The Heifer,البقرة,ماده گاو,,"گفتيم: ""همگی، از آنجا پايين برويد. هرگاه هدايتی از جانب من برای شما آيد، آنان که از هدايت من پيروی کنند، هيچ ترس و اندوهی نخواهند داشت.","We said, ""Go down therefrom, all of you. When guidance comes to you from Me, those who follow My guidance will have no fear, nor will they grieve.",
2,39,2:39,٣٩:٢,286,The Heifer,البقرة,ماده گاو,,"""و اما کسانی که کافر شوند و آيات ما را تکذيب کنند، ساكنان دوزخ خواهند بود که تا ابد در آنجا ماندگارند.""","As for those who disbelieve and reject our revelations, they will be dwellers of Hell, wherein they abide forever.",
2,40,2:40,٤٠:٢,286,The Heifer,البقرة,ماده گاو,"Divine Commandments to All Jews: ""You Shall Believe in This Quran.""",ای بنی اسراييل، نعمت مرا که بر شما ارزانی داشتم، به خاطر آوريد و به عهد خود وفا کنيد، تا من نیز به عهد خود وفا کنم و هیبت و حرمت مرا ارج نهید.,"O Children of Israel, remember My favor, which I bestowed upon you, and fulfill your part of the covenant, that I fulfill My part of the covenant, and reverence Me.",
2,41,2:41,٤١:٢,286,The Heifer,البقرة,ماده گاو,,به آنچه من در اين نازل کرده ام ايمان آوريد، که آنچه را در دست داريد، تصديق مى كند؛ اولين كسى نباشيد كه آن را تکذيب كند. آيات مرا به بهای اندک معامله نکنيد و مرا در نظر داشته باشيد.,"You shall believe in what I have revealed herein, confirming what you have; do not be the first to reject it. Do not trade away My revelations for a cheap price, and observe Me.",
2,42,2:42,٤٢:٢,286,The Heifer,البقرة,ماده گاو,,حق را با باطل در هم نياميزيد و دانسته حقيقت را پنهان نكنيد.,"Do not confound the truth with falsehood, nor shall you conceal the truth, knowingly.",
2,43,2:43,٤٣:٢,286,The Heifer,البقرة,ماده گاو,,نمازها (ارتباط با خدا) را به جا آورید، زکات (انفاق واجب) را بدهيد و با رکوع کنندگان به رکوع برويد.,"You shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat), and bow down with those who bow down.",
2,44,2:44,٤٤:٢,286,The Heifer,البقرة,ماده گاو,,آيا مردم را به پرهيزكاری سفارش می کنيد و خود را فراموش می کنيد، با اين که شما کتاب آسمانی را می خوانيد؟ آيا نمی فهميد؟,"Do you exhort the people to be righteous, while forgetting yourselves, though you read the scripture? Do you not understand?",
2,45,2:45,٤٥:٢,286,The Heifer,البقرة,ماده گاو,,از طريق صبر و نماز ياری جوييد. بی گمان اين کاری است دشوار، ولی نه برای حرمتگزاران،,"You shall seek help through steadfastness and the Contact Prayers (Salat). This is difficult indeed, but not so for the reverent,",
2,46,2:46,٤٦:٢,286,The Heifer,البقرة,ماده گاو,,که باور دارند پروردگارشان را ملاقات خواهند کرد؛ و سرانجام به سوى او بازمی گردند.,who believe that they will meet their Lord; that to Him they ultimately return.,
2,47,2:47,٤٧:٢,286,The Heifer,البقرة,ماده گاو,,ای بنی اسراييل، به ياد آوريد نعمت مرا که بر شما ارزانی داشتم و اين که شما را بيش از ساير مردم مورد رحمت قرار دادم.,"O Children of Israel, remember My favor which I bestowed upon you, and that I blessed you more than any other people.",
2,48,2:48,٤٨:٢,286,The Heifer,البقرة,ماده گاو,,آگاه باشيد از روزی که هيچ نفسى نمى تواند براى نفس ديگرى مفيد باشد، نه شفاعتى پذيرفته خواهد شد، نه غرامتى مى توان پرداخت و نه می توان از کسی مدد گرفت.,"Beware of the day when no soul can avail another soul, no intercession will be accepted, no ransom can be paid, nor can anyone be helped.",
2,49,2:49,٤٩:٢,286,The Heifer,البقرة,ماده گاو,,به ياد آوريد که شما را از فرعونيان رهانيديم که بدترين آزارها را به شما می رساندند، پسرانتان را می کشتند و دخترانتان را زنده می گذاشتند. آن آزمايشی بود سخت از جانب پروردگارتان.,"Recall that we saved you from Pharaoh's people who inflicted upon you the worst persecution, slaying your sons and sparing your daughters. That was an exacting test from your Lord.",
2,50,2:50,٥٠:٢,286,The Heifer,البقرة,ماده گاو,,به ياد آوريد که دريا را برايتان شکافتيم؛ شما را نجات داديم و فرعونيان را در برابر چشمانتان غرق کرديم.,Recall that we parted the sea for you; we saved you and drowned Pharaoh's people before your eyes.,
2,51,2:51,٥١:٢,286,The Heifer,البقرة,ماده گاو,,با اين حال، هنگامی که موسی را برای چهل شب احضار کرديم، شما در غياب او گوساله را به پرستش گرفتيد و ستمکار شديد.*,"Yet, when we summoned Moses for forty nights, you worshiped the calf in his absence, and turned wicked.*","*2:51 This incident reflects the humans' idolatrous tendency. Despite the profound miracles, Moses' followers worshiped the calf in his absence, and Moses ended up with only two believers (5:23). As pointed out in the Introduction, the humans are rebels whose egos are their gods."
2,52,2:52,٥٢:٢,286,The Heifer,البقرة,ماده گاو,,با اين همه، پس از آن  شما را بخشيديم. باشد كه سپاسگزار باشيد.,"Still, we pardoned you thereafter that you may be appreciative.",
2,53,2:53,٥٣:٢,286,The Heifer,البقرة,ماده گاو,,به ياد آوريد که به موسی کتاب آسمانی و فرقان عطا کرديم، باشد که هدايت شويد.,"Recall that we gave Moses scripture and the statute book, that you may be guided.",
2,54,2:54,٥٤:٢,286,The Heifer,البقرة,ماده گاو,Kill Your Ego*,"به ياد آوريد که موسی به قوم خود گفت: ""ای قوم من، شما با پرستش گوساله به نفس خود ستم کرديد. پس به درگاه خالق خود توبه کنيد و غرور خود را بکشيد که اين نزد پروردگارتان برای شما بهتر است."" او توبهٔ شما را پذيرفت. اوست آمرزندە، مهربان ترين.","Recall that Moses said to his people, ""O my people, you have wronged your souls by worshiping the calf. You must repent to your Creator. You shall kill your egos. This is better for you in the sight of your Creator."" He did redeem you. He is the Redeemer, Most Merciful.","*2:54 It is the ego that led to Satan's fall. It is the ego that caused our exile to this world, and it is the ego that is keeping most of us from redemption to God's Kingdom."
2,55,2:55,٥٥:٢,286,The Heifer,البقرة,ماده گاو,Physical Evidence*,"به ياد آوريد که گفتيد: ""ای موسی، ما ايمان نخواهيم آورد، مگر آنکه خدا را عيناً ببينيم."" درنتيجه، همان طور كه نگاه می کرديد، صاعقه ای به شما اصابت كرد.","Recall that you said, ""O Moses, we will not believe unless we see GOD, physically."" Consequently, the lightning struck you, as you looked.","*2:55 It is noteworthy that the word ""GOD"" in this verse is the 19th occurrence, and this is the verse where the people demanded ""physical evidence."" The Quran's mathematical code, based on the number 19, provides such physical evidence. Note also that 2+55=57=19x3."
2,56,2:56,٥٦:٢,286,The Heifer,البقرة,ماده گاو,,سپس شما را پس از آنكه مرده بوديد، دوباره زنده كرديم، باشد كه سپاسگزار باشيد.,"We then revived you, after you had died, that you may be appreciative.",
2,57,2:57,٥٧:٢,286,The Heifer,البقرة,ماده گاو,,"و ابرها را (در صحرای سينا) سايبان شما قرار داديم و برای شما ترانگبين و بلدرچين فرو فرستاديم: ""از چيزهای خويی که برايتان فراهم كرديم، بخوريد."" آنان (با عصيان خود) به ما زيانی نرساندند؛ آنها فقط به نفس خويش صدمه زدند.","We shaded you with clouds (in Sinai), and sent down to you manna and quails: ""Eat from the good things we provided for you."" They did not hurt us (by rebelling); they only hurt their own souls.",
2,58,2:58,٥٨:٢,286,The Heifer,البقرة,ماده گاو,Lack of Confidence in God: They Refuse to Enter Jerusalem,"به ياد آوريد که گفتيم: ""به اين شهر وارد شويد، جايی که هر قدر روزی بخواهيد، می يابيد. فقط با تواضع از دروازه وارد شويد و با مردم خوش رفتار باشيد. سپس گناهانتان را می بخشيم و بر پاداش پارسايان می افزاييم.""","Recall that we said, ""Enter this town, where you will find as many provisions as you like. Just enter the gate humbly, and treat the people nicely. We will then forgive your sins, and increase the reward for the pious.""",
2,59,2:59,٥٩:٢,286,The Heifer,البقرة,ماده گاو,,اما ستمكاران در ميان آنها، دستورات ديگرى را به جاى احكامى كه به آنها داده شده بود، انجام دادند. درنتيجه، ما بر متجاوزان به خاطر ستمكارى هايشان بلايى از آسمان فرو فرستاديم.,"But the wicked among them carried out commands other than the commands given to them. Consequently, we sent down upon the transgressors condemnation from the sky, due to their wickedness.",
2,60,3:00,٦٠:٢,286,The Heifer,البقرة,ماده گاو,More Miracles,"به ياد آوريد که موسی برای قوم خود در جستجوى آب بود. گفتيم: ""چوبدست خود را بر آن سنگ بزن."" که دوازده چشمه از آن فوران زد. اعضای هر قبيله محل آب خود را می دانست. از روزی های خدا بخوريد و بياشاميد و در زمين به فساد نگرديد.","Recall that Moses sought water for his people. We said, ""Strike the rock with your staff."" Whereupon, twelve springs gushed out therefrom. The members of each tribe knew their own water. Eat and drink from GOD's provisions, and do not roam the earth corruptingly.",
